mode_main,distance,density,age,male,education,income,cars,license,bicycles,weekend,green,temp,precip,wind,group
0,6.0,0.26182,36,1,0.5,0.5,1,1,9,1,86.3802531799,0.5,3.85,2.0,0
0,6.0,1.10519,64,1,0.0,0.5,2,1,3,1,54.7387792659,0.3,3.2,2.3,0
1,3.0,2.20826,40,0,1.0,0.5,1,1,1,1,36.0652765186,0.3,2.8,2.3,1
1,3.0,2.24324,40,0,1.0,0.5,1,1,1,1,36.0652765186,0.3,2.8,2.3,1
1,1.5,1.2297,47,0,1.0,1.0,2,1,4,1,72.3739767342,0.3,2.8,2.3,1
1,1.5,1.09338,47,0,1.0,1.0,2,1,4,1,72.3739767342,0.3,2.8,2.3,1
1,1.0,1.2297,47,0,1.0,1.0,2,1,4,1,72.3739767342,0.3,2.8,2.3,1
1,2.5,1.69067,47,0,1.0,1.0,2,1,4,1,72.3739767342,0.3,2.8,2.3,1
1,3.2,0.91552,47,0,1.0,1.0,2,1,4,1,72.3739767342,0.3,2.8,2.3,1
0,5.0,0.73065,24,1,0.5,1.0,1,1,4,1,55.6293807009,0.3,3.2,2.3,0
1,6.0,0.80024,38,0,1.0,1.0,2,1,5,1,54.1021227768,0.3,3.2,2.3,1
1,6.0,0.14305,38,0,1.0,1.0,2,1,5,1,54.1021227768,0.3,3.2,2.3,1
0,0.3,0.23161,70,1,0.5,0.5,1,1,3,1,83.3768701021,-1.0,0.0,2.5,0
0,0.3,0.23161,70,1,0.5,0.5,1,1,3,1,83.3768701021,-1.0,0.0,2.5,0
0,0.1,0.23161,70,1,0.5,0.5,1,1,3,1,83.3768701021,-1.0,0.0,2.5,0
0,0.1,0.23161,70,1,0.5,0.5,1,1,3,1,83.3768701021,-1.0,0.0,2.5,0
0,0.8,0.23161,70,1,0.5,0.5,1,1,3,1,83.3768701021,-1.0,0.0,2.5,0
0,0.8,0.23161,70,1,0.5,0.5,1,1,3,1,83.3768701021,-1.0,0.0,2.5,0
1,65.0,1.20655,47,1,1.0,1.0,2,1,5,1,71.8339854391,0.0,0.0,2.6,0
1,65.0,2.0335,47,1,1.0,1.0,2,1,5,1,71.8339854391,0.0,0.0,2.6,0
0,2.0,0.60744,61,0,0.0,0.5,1,1,1,1,42.4705639331,-1.0,0.0,2.5,1
0,20.0,0.60744,61,0,0.0,0.5,1,1,1,1,42.4705639331,-1.0,0.0,2.5,1
0,20.0,0.34045,53,1,1.0,1.0,3,1,4,1,49.908008134,0.6,2.4,2.5,0
1,7.0,0.34045,53,1,1.0,1.0,3,1,4,1,49.908008134,0.6,2.4,2.5,0
1,7.0,0.34045,53,1,1.0,1.0,3,1,4,1,49.908008134,0.6,2.4,2.5,0
0,7.2,0.39012,83,0,0.0,0.0,0,0,1,1,67.7929095822,0.2,2.2,1.8,-1
0,4.8,0.39012,83,0,0.0,0.0,0,0,1,1,67.7929095822,0.2,2.2,1.8,-1
0,13.6,0.39012,83,0,0.0,0.0,0,0,1,1,67.7929095822,0.2,2.2,1.8,-1
1,7.0,0.41177,35,1,0.5,1.0,2,1,4,1,75.0440062499,0.2,2.2,1.8,0
1,7.0,1.08875,35,1,0.5,1.0,2,1,4,1,75.0440062499,0.2,2.2,1.8,0
1,17.0,0.41177,35,1,0.5,1.0,2,1,4,1,75.0440062499,0.2,2.2,1.8,0
1,17.0,0.4009,35,1,0.5,1.0,2,1,4,1,75.0440062499,0.2,2.2,1.8,0
1,28.0,0.09441,51,0,0.5,0.5,1,1,0,1,79.1108554524,0.8,3.0,3.3,1
1,28.0,1.77412,51,0,0.5,0.5,1,1,0,1,79.1108554524,0.8,3.0,3.3,1
0,5.0,1.07835,56,0,0.0,1.0,1,1,2,1,81.1494008367,0.3,0.3,2.4,1
0,0.1,1.07937,18,0,0.5,0.5,1,0,4,1,60.3487780041,0.6,2.4,2.5,1
0,0.1,1.07937,18,0,0.5,0.5,1,0,4,1,60.3487780041,0.6,2.4,2.5,1
0,0.1,1.07937,18,0,0.5,0.5,1,0,4,1,60.3487780041,0.6,2.4,2.5,1
1,12.5,1.43178,68,1,1.0,1.0,1,1,2,1,41.6689317749,0.3,0.3,2.4,0
1,12.5,1.96164,68,1,1.0,1.0,1,1,2,1,41.6689317749,0.3,0.3,2.4,0
